course_section_id,New_Professor,Professor_ID,Professor_Division,Professor_Teaching_Status,Professor_Score,Course_Score,Co_Professor,Professor_Enrollments,Course_Number,Section_Number,Course_Division,Course_Type,New_Course,Program_Degree,Course_Year,Course_Term,Term_Number,Academic_Year,Course_Credits,Course_Capacity,Prerequisites,Corequisites,Enrollment_Total,Enrollment_Masters1,Enrollment_Masters2,Enrollment_MS,Enrollment_PhD,Enrollment_CrossReg_Other,Response_Rate,Waitlist,Separate_Evaluation,Classroom,days,Class_Time,Hours,times_taught,Q1_Stu_Effort_Score,Q2_Stu_Instr_Engagement_Score,Q3_Stu_Peer_Engagement_Score,Q4_Stu_Prev_Experience_Score,Q5_Stu_Curr_Experience_Score,Q6_Stu_Course_Value_Score,Q8_Stu_Recommend_Score,Q10_Average_workload_rating,Q11_Course_Pace_Score,Q12_Course_Content_Score,Q13_Instr_Attunement_Score,Q14_Instr_Clarity_Score,Q15_Instr_Expectations_Score,Q16_Instr_Feedback_Score,Q17_Instr_Inclusiveness_Score,Course_Teaching_Assistant
214083,No,b3a47ed1,QAHF,Full Time,4.83,4.558974,No,1,C78116,001,QAHF,Core,No,Masters2,2025,Summer,20252,2024-25,3.0,74.0,,,42.0,0.0,0.0,0.0,0.0,42.0,100.0,0.0,No,Building1,"F,S,U",08:30:00,10.25,22.0,0.0,0.0,0.0,0.0,1.0,4.5,4.714285,3.833333,3.523809,4.45238,0.0,0.0,0.0,0.0,0.0,Yes
214084,No,b3a47ed1,QAHF,Full Time,4.865,4.615789,No,1,C78116,002,QAHF,Core,No,Masters2,2025,Summer,20252,2024-25,3.0,74.0,,,42.0,0.0,0.0,0.0,0.0,42.0,100.0,0.0,No,Building1,"F,S",08:30:00,10.25,22.0,0.0,0.0,0.0,0.0,1.0,4.5,4.690476,3.690476,3.619047,4.357142,0.0,0.0,0.0,0.0,0.0,Yes
214085,No,b3a47ed1,QAHF,Full Time,4.924528,4.792453,No,1,C78116,300,QAHF,Core,No,Masters2,2025,Summer,20252,2024-25,3.0,74.0,,,54.0,0.0,21.0,0.0,0.0,33.0,98.1800003051758,0.0,No,Building2,"T,W,F",08:30:00,11.0,22.0,0.0,0.0,0.0,0.0,1.0,4.703703,4.833333,3.907407,3.537037,4.425925,0.0,0.0,0.0,0.0,0.0,Yes
214086,No,d68d7e71,QAHF,,4.568421,4.304348,No,1,C80084,001,QAHF,Elective,No,Masters2,2025,Summer,20252,2024-25,1.5,74.0,,,32.0,2.0,28.0,0.0,0.0,2.0,71.879997253418,0.0,No,Building2,S,08:30:00,10.25,4.0,0.0,0.0,0.0,0.0,1.0,4.304347,4.347826,3.086956,3.217391,4.0,0.0,0.0,0.0,0.0,0.0,Yes
214087,No,d8eb743a,QAHF,Part Time,4.628572,4.6,No,1,Q32632,001,QAHF,Elective,No,Masters2,2025,Summer,20252,2024-25,3.0,74.0,Prerequisites,,28.0,1.0,27.0,0.0,0.0,0.0,85.7099990844727,0.0,No,Building1,F,08:30:00,10.25,13.0,0.0,0.0,0.0,0.0,0.916666,4.458333,4.291666,3.625,3.583333,4.458333,0.0,0.0,0.0,0.0,0.0,Yes
214088,No,14d8b814,QAHF,Part Time,4.524445,4.044898,No,1,D43425,001,QAHF,Elective,No,Masters1,2025,Summer,20252,2024-25,1.5,74.0,,,70.0,64.0,6.0,0.0,0.0,0.0,73.9100036621094,2.0,No,Building2,W,18:00:00,3.25,14.0,0.0,0.0,0.0,0.0,0.941176,4.0,4.431372,2.862745,3.0,3.784313,0.0,0.0,0.0,0.0,0.0,Yes
214089,No,8e6ee73f,QAHF,Full Time,5.0,4.96875,No,1,C26850,001,QAHF,Elective,No,Masters1,2025,Summer,20252,2024-25,3.0,74.0,Prerequisites,,34.0,21.0,3.0,0.0,0.0,10.0,94.120002746582,0.0,No,Building1,"M,T,W,R,U",09:00:00,8.0,21.0,0.0,0.0,0.0,0.0,1.21875,4.96875,5.0,3.6875,4.15625,4.78125,0.0,0.0,0.0,0.0,0.0,Yes
214099,No,640d2369,GYQP,Full Time,4.813793,4.766667,No,1,H81467,001,TRXC,Elective,No,Masters1,2025,Summer,20252,2024-25,3.0,74.0,,,34.0,23.0,3.0,0.0,0.0,8.0,88.2399978637695,0.0,No,Building2,"M,T,W,R,U",09:00:00,8.0,31.0,0.0,0.0,0.0,0.0,1.133333,4.766666,4.8,3.2,3.233333,4.733333,0.0,0.0,0.0,0.0,0.0,Yes
214100,No,7ea78d6e,NZJO,Full Time,4.952381,5.0,No,1,F18137,001,TRXC,Elective,No,Masters1,2025,Summer,20252,2024-25,3.0,74.0,Prerequisites,,21.0,13.0,1.0,0.0,0.0,7.0,100.0,0.0,No,Building1,"M,T,W,R,U",09:00:00,8.0,5.0,0.0,0.0,0.0,0.0,1.333333,5.0,4.95238,3.47619,4.047619,4.761904,0.0,0.0,0.0,0.0,0.0,Yes
214101,No,6f4c76ff,NZJO,Part Time,4.558333,4.238461,No,1,M06770,001,TRXC,Elective,No,Masters1,2025,Summer,20252,2024-25,3.0,74.0,,,35.0,13.0,19.0,0.0,0.0,3.0,80.0,0.0,No,Building2,"M,T,W,R,F",10:00:00,8.0,4.0,0.0,0.0,0.0,0.0,1.035714,4.178571,4.428571,3.214285,3.214285,4.178571,0.0,0.0,0.0,0.0,0.0,Yes
